total-accepted-year,988
investment-potential-month,11.0
total-all,3227
y-intercept-year,-33.69441532289558
gradient-factor-week,0.42638492731284261
uncertainty-year,0.97314678495340001
quadratic-coefficients-month,"[-1.3837119349959401e-14, 4.4070776603132838e-05, -35089.932242153314]"
total-rejected-all,1610
quadratic-coefficients-all,"[2.8930408719591561e-16, -8.8867798378319359e-07, 682.56693553526327]"
days-profit-month,147
value-week,1.0765664333622187
value-timestamp,1591624370
id,CSGO_Weapon_Case_3
uncertainty-all,129.83651988372003
days-break-even-month,30
total-month,721
days-profit-week,79
days-profit-year,406
quadratic-coefficients-year,"[1.3278384842452958e-16, -3.9697745468807718e-07, 296.40823183644511]"
uncertainty,0.39835714706682823
investment-potential,20.0
gradient-week,1.1253674807005642e-07
gradient-factor-year,0.083313608428010694
gradient-factor-month,0.22878511110817412
total-year,1285
gradient-month,6.0671158780722025e-08
days-profit-all,779
investment-potential-week,29.0
total-week,169
total-accepted-week,169
days-break-even-week,16
value-date,08/06/2020
value-month,1.0710384679590903
total-accepted-month,706
y-intercept-month,-95.492446842211649
total-accepted-all,1617
total-rejected-week,0
days-break-even-all,161
total-rejected-month,15
days-break-even,23
quadratic-coefficients-week,"[-2.9170160572042768e-13, 0.00092848731876594233, -738843.59050959582]"
value-all,0.91198441285034304
gradient-all,1.133797484442086e-08
gradient-factor-all,0.043422803853892446
name,CS:GO Weapon Case 3
investment-potential-all,0.0
y-intercept-week,-178.02651098065792
gradient-factor,0.32758501921050837
url,https://steamcommunity.com/market/listings/730/CS%3AGO%20Weapon%20Case%203/
investment-potential-year,0.0
gradient-year,2.1753721840098078e-08
total-rejected-year,297
value,1.0738024506606545
days-break-even-year,84
uncertainty-month,0.48489322132930524
days-profit,113
uncertainty-week,0.31182107280435117
y-intercept-all,-17.274532754678553
value-year,0.99098624647531997
