total-accepted-year,1147
investment-potential-month,0.0
total-all,2422
y-intercept-year,-0.0068370733063007703
gradient-factor-week,1.1690142791368583
uncertainty-year,0.7807450852066663
quadratic-coefficients-month,"[1.0959432505581927e-15, -3.4843530926199232e-06, 2769.4907016894535]"
total-rejected-all,310
quadratic-coefficients-all,"[3.4533343029312029e-20, -1.0497159929252491e-10, 0.10300087524939412]"
days-profit-month,172
value-week,0.028807741469469652
value-timestamp,1591623304
id,Chroma_3_Case
uncertainty-all,78.095735890729884
days-break-even-month,35
total-month,721
days-profit-week,28
days-profit-year,10000
quadratic-coefficients-year,"[8.8772250221429009e-19, -2.77998646973742e-09, 2.1996923800994157]"
uncertainty,1.2193463268280025
investment-potential,6.0
gradient-week,8.3319931532242244e-09
gradient-factor-year,0.0028580486369902194
gradient-factor-month,0.19670469817228653
total-year,1285
gradient-month,1.4210106750002046e-09
days-profit-all,10000
investment-potential-week,12.0
total-week,169
total-accepted-week,160
days-break-even-week,5
value-date,08/06/2020
value-month,0.027691759056947075
total-accepted-month,663
y-intercept-month,-2.2354495766439286
total-accepted-all,2112
total-rejected-week,9
days-break-even-all,10000
total-rejected-month,58
days-break-even,20
quadratic-coefficients-week,"[1.5454802218524391e-14, -4.9178718502079626e-05, 39122.918741913483]"
value-all,0.025188364226300726
gradient-all,5.7864131864086295e-13
gradient-factor-all,8.6157055442439372e-05
name,Chroma 3 Case
investment-potential-all,0.0
y-intercept-week,-13.232469004340473
gradient-factor,0.68285948865457247
url,https://steamcommunity.com/market/listings/730/Chroma%203%20Case/
investment-potential-year,0.0
gradient-year,1.9195004095197034e-11
total-rejected-year,138
value,0.028249750263208362
days-break-even-year,2449
uncertainty-month,1.5591909759460123
days-profit,100
uncertainty-week,0.87950167770999255
y-intercept-all,0.022376347759383724
value-year,0.025396719015034312
