total-accepted-year,1114
investment-potential-month,2.0
total-all,2897
y-intercept-year,-7.806112915783773
gradient-factor-week,0.39452889449028533
uncertainty-year,1.1822078356014434
quadratic-coefficients-month,"[1.3922846009444867e-14, -4.4280633865211936e-05, 35208.134461444104]"
total-rejected-all,1440
quadratic-coefficients-all,"[2.758584611396316e-17, -8.141492603454931e-08, 59.993888875564636]"
days-profit-month,915
value-week,0.29934115732469069
value-timestamp,1591622491
id,Chroma_Case
uncertainty-all,403.75613696152749
days-break-even-month,189
total-month,721
days-profit-week,85
days-profit-year,480
quadratic-coefficients-year,"[1.1564819679540354e-16, -3.5971429928038745e-07, 279.84859048956622]"
uncertainty,0.29006526468738569
investment-potential,15.5
gradient-week,2.9100181552938103e-08
gradient-factor-year,0.070379731802769602
gradient-factor-month,0.036946425921995048
total-year,1285
gradient-month,2.7027427895123579e-09
days-profit-all,537
investment-potential-week,29.0
total-week,169
total-accepted-week,169
days-break-even-week,17
value-date,08/06/2020
value-month,0.28979001039183061
total-accepted-month,720
y-intercept-month,-4.0171059648448439
total-accepted-all,1457
total-rejected-week,0
days-break-even-all,111
total-rejected-month,1
days-break-even,103
quadratic-coefficients-week,"[-2.8624251515963058e-14, 9.1129317869122125e-05, -72530.439406553487]"
value-all,0.28324785104152506
gradient-all,4.545024932523266e-09
gradient-factor-all,0.063002398530479592
name,Chroma Case
investment-potential-all,0.0
y-intercept-week,-46.01507637187887
gradient-factor,0.21573766020614019
url,https://steamcommunity.com/market/listings/730/Chroma%20Case/
investment-potential-year,0.0
gradient-year,5.077229490447677e-09
total-rejected-year,171
value,0.29456558385826065
days-break-even-year,99
uncertainty-month,0.33967702966799646
days-profit,500
uncertainty-week,0.24045349970677496
y-intercept-all,-6.9583164946442677
value-year,0.28288271106812868
