total-accepted-year,645
investment-potential-month,0.0
total-all,1470
y-intercept-year,-1.4083281943437727
gradient-factor-week,0.30924191992482131
uncertainty-year,21.502238945019837
quadratic-coefficients-month,"[-5.1662565537310171e-17, 1.548878553023485e-07, -115.61102089177383]"
total-rejected-all,730
quadratic-coefficients-all,"[-3.502320321428632e-16, 1.1108113688670511e-06, -880.7178397833045]"
days-profit-month,10000
value-week,0.044045180203780343
value-timestamp,1591623491
id,Danger_Zone_Case
uncertainty-all,41.022890580913042
days-break-even-month,10000
total-month,721
days-profit-week,109
days-profit-year,395
quadratic-coefficients-year,"[-1.8267455631737544e-16, 5.8009030256954107e-07, -460.47675963916942]"
uncertainty,0.76980435418074733
investment-potential,5.0
gradient-week,3.4568815316175543e-09
gradient-factor-year,0.08552884863742391
gradient-factor-month,-0.8468060624181023
total-year,1285
gradient-month,-9.4220362523580031e-09
days-profit-all,10000
investment-potential-week,10.0
total-week,169
total-accepted-week,149
days-break-even-week,22
value-date,08/06/2020
value-month,0.041065699774904027
total-accepted-month,565
y-intercept-month,15.033547847241211
total-accepted-all,740
total-rejected-week,20
days-break-even-all,10000
total-rejected-month,156
days-break-even,5011
quadratic-coefficients-week,"[3.0642850692792718e-14, -9.7520921298466934e-05, 77590.162775678313]"
value-all,0.047003752003775351
gradient-all,-1.0931482237342956e-10
gradient-factor-all,-0.010207350303073971
name,Danger Zone Case
investment-potential-all,0.0
y-intercept-week,-5.4590151087111796
gradient-factor,-0.2687820712466405
url,https://steamcommunity.com/market/listings/730/Danger%20Zone%20Case/
investment-potential-year,0.0
gradient-year,9.1596453722062317e-10
total-rejected-year,640
value,0.042555439989342185
days-break-even-year,81
uncertainty-month,0.8804461165744526
days-profit,5054
uncertainty-week,0.65916259178704206
y-intercept-all,0.22481450954595736
value-year,0.046358736882221946
