total-accepted-year,955
investment-potential-month,12.0
total-all,2759
y-intercept-year,-4.2739315705220386
gradient-factor-week,0.13551328823142594
uncertainty-year,1.3400850611224697
quadratic-coefficients-month,"[8.7009415545007359e-16, -2.7606939142351493e-06, 2189.9568339175053]"
total-rejected-all,1370
quadratic-coefficients-all,"[1.3625705912414552e-17, -4.0500402761879376e-08, 30.077840256651228]"
days-profit-month,187
value-week,0.15047928526457377
value-timestamp,1591622428
id,Falchion_Case
uncertainty-all,275.16294697619833
days-break-even-month,38
total-month,721
days-profit-week,249
days-profit-year,456
quadratic-coefficients-year,"[3.9965584491618237e-17, -1.2340712918639289e-07, 95.311535020217121]"
uncertainty,0.23370093875510495
investment-potential,11.5
gradient-week,5.0228070911201345e-09
gradient-factor-year,0.07418769791899861
gradient-factor-month,0.18027570156786291
total-year,1285
gradient-month,6.6974672749920921e-09
days-profit-all,597
investment-potential-week,11.0
total-week,169
total-accepted-week,169
days-break-even-week,51
value-date,08/06/2020
value-month,0.14979790321394137
total-accepted-month,721
y-intercept-month,-10.510004815310154
total-accepted-all,1389
total-rejected-week,0
days-break-even-all,123
total-rejected-month,0
days-break-even,44
quadratic-coefficients-week,"[-3.9513710471267406e-14, 0.00012576160578490442, -100066.26424995391]"
value-all,0.13851943641870818
gradient-all,2.1123305985558271e-09
gradient-factor-all,0.0565858083434422
name,Falchion Case
investment-potential-all,0.0
y-intercept-week,-7.8428758872464268
gradient-factor,0.15789449489964441
url,https://steamcommunity.com/market/listings/730/Falchion%20Case/
investment-potential-year,0.0
gradient-year,2.7694036532903647e-09
total-rejected-year,330
value,0.15013859423925757
days-break-even-year,94
uncertainty-month,0.2873176425977067
days-profit,218
uncertainty-week,0.18008423491250317
y-intercept-all,-3.2354969888442486
value-year,0.1422066647804397
