total-accepted-year,645
investment-potential-month,18.0
total-all,2309
y-intercept-year,-1.1096635702645641
gradient-factor-week,1.3056641730377518
uncertainty-year,1.415356946953747
quadratic-coefficients-month,"[-6.9643084092454883e-16, 2.222788888456727e-06, -1773.5525287491719]"
total-rejected-all,1023
quadratic-coefficients-all,"[3.0388583758503659e-20, -9.303372618733041e-11, 0.094447238697080257]"
days-profit-month,55
value-week,0.051348852138681858
value-timestamp,1591623367
id,Gamma_2_Case
uncertainty-all,47.195330021310042
days-break-even-month,11
total-month,721
days-profit-week,25
days-profit-year,531
quadratic-coefficients-year,"[4.2972854606413255e-17, -1.3499466442006648e-07, 106.04090602423042]"
uncertainty,0.66882865452588935
investment-potential,26.5
gradient-week,1.7159520810222654e-08
gradient-factor-year,0.063654994884369404
gradient-factor-month,0.60685951727732934
total-year,1285
gradient-month,7.6906224086786446e-09
days-profit-all,10000
investment-potential-week,35.0
total-week,169
total-accepted-week,158
days-break-even-week,5
value-date,08/06/2020
value-month,0.04909810313032624
total-accepted-month,639
y-intercept-month,-12.193430591104052
total-accepted-all,1286
total-rejected-week,11
days-break-even-all,10000
total-rejected-month,82
days-break-even,8
quadratic-coefficients-week,"[4.4114517998857378e-14, -0.00014038249163236927, 111682.3450218167]"
value-all,0.034507898467540953
gradient-all,1.2975140075974821e-12
gradient-factor-all,0.00011450333386456743
name,Gamma 2 Case
investment-potential-all,0.0
y-intercept-week,-27.261687658061863
gradient-factor,0.95626184515754065
url,https://steamcommunity.com/market/listings/730/Gamma%202%20Case/
investment-potential-year,0.0
gradient-year,7.2131740385572742e-10
total-rejected-year,640
value,0.050223477634504049
days-break-even-year,109
uncertainty-month,0.69632278562273209
days-profit,40
uncertainty-week,0.64133452342904662
y-intercept-all,0.021261356859235317
value-year,0.042043599421813682
