total-accepted-year,645
investment-potential-month,0.0
total-all,2373
y-intercept-year,-1.6383495405315158
gradient-factor-week,0.77804129804157662
uncertainty-year,1.7448824272982397
quadratic-coefficients-month,"[9.4423225035553266e-16, -3.0012539837449617e-06, 2384.9274118130593]"
total-rejected-all,1180
quadratic-coefficients-all,"[3.1299864560896023e-18, -9.4505705363794514e-09, 7.1565521228761542]"
days-profit-month,185
value-week,0.05577907710423851
value-timestamp,1591622554
id,Gamma_Case
uncertainty-all,254.09014104358212
days-break-even-month,38
total-month,721
days-profit-week,43
days-profit-year,420
quadratic-coefficients-year,"[3.8728634284987719e-17, -1.2118905779055815e-07, 94.828788831242804]"
uncertainty,0.94364910023211124
investment-potential,14.5
gradient-week,1.0962553884959329e-08
gradient-factor-year,0.080516078354895576
gradient-factor-month,0.18227485471312316
total-year,1285
gradient-month,2.4389293116989938e-09
days-profit-all,2420
investment-potential-week,29.0
total-week,169
total-accepted-week,149
days-break-even-week,8
value-date,08/06/2020
value-month,0.052549507110207387
total-accepted-month,434
y-intercept-month,-3.830693993110668
total-accepted-all,1193
total-rejected-week,20
days-break-even-all,500
total-rejected-month,287
days-break-even,23
quadratic-coefficients-week,"[-3.3878005625693589e-15, 1.0793022092038087e-05, -8596.1751868116862]"
value-all,0.046086637647394721
gradient-all,1.8396618377297463e-10
gradient-factor-all,0.013978405447195263
name,Gamma Case
investment-potential-all,0.0
y-intercept-week,-17.393446181270402
gradient-factor,0.48015807637734986
url,https://steamcommunity.com/market/listings/730/Gamma%20Case/
investment-potential-year,0.0
gradient-year,1.0596513116800446e-09
total-rejected-year,640
value,0.054164292107222949
days-break-even-year,86
uncertainty-month,1.2713383849034152
days-profit,114
uncertainty-week,0.61595981556080714
y-intercept-all,-0.25369465122536156
value-year,0.050637123811889409
