total-accepted-year,645
investment-potential-month,0.0
total-all,2207
y-intercept-year,-143.60786783219393
gradient-factor-week,1.9305944230535017
uncertainty-year,49.676130242579653
quadratic-coefficients-month,"[1.8508054588119248e-14, -5.8781221906466603e-05, 46672.110242631483]"
total-rejected-all,1100
quadratic-coefficients-all,"[1.9417455778918421e-16, -6.0647322505139966e-07, 473.59072635007254]"
days-profit-month,29
value-week,0.32858364694312581
value-timestamp,1591622616
id,Glove_Case
uncertainty-all,176.33852479531745
days-break-even-month,6
total-month,721
days-profit-week,17
days-profit-year,31
quadratic-coefficients-year,"[3.1143831205241878e-14, -9.8967212341836581e-05, 78623.324856374835]"
uncertainty,0.94643191712851493
investment-potential,13.0
gradient-week,1.3709679927152074e-07
gradient-factor-year,1.0787229156251281
gradient-factor-month,1.1358453489486517
total-year,1285
gradient-month,9.245754645145133e-08
days-profit-all,464
investment-potential-week,26.0
total-week,169
total-accepted-week,123
days-break-even-week,3
value-date,08/06/2020
value-month,0.33023977663209758
total-accepted-month,477
y-intercept-month,-146.8247824911588
total-accepted-all,1107
total-rejected-week,46
days-break-even-all,96
total-rejected-month,244
days-break-even,4
quadratic-coefficients-week,"[-4.4561305047854494e-13, 0.0014183319088585935, -1128593.9558879952]"
value-all,0.26017877539782908
gradient-all,6.1084659587334271e-09
gradient-factor-all,0.07285877670296205
name,Glove Case
investment-potential-all,0.0
y-intercept-week,-217.83483469688926
gradient-factor,1.5332198860010768
url,https://steamcommunity.com/market/listings/730/Glove%20Case/
investment-potential-year,0.0
gradient-year,9.0439923742692722e-08
total-rejected-year,640
value,0.32941171178761169
days-break-even-year,6
uncertainty-month,1.156352373746081
days-profit,23
uncertainty-week,0.73651146051094885
y-intercept-all,-9.5400264900046601
value-year,0.3379743256065042
