total-accepted-year,966
investment-potential-month,0.0
total-all,1595
y-intercept-year,-0.021454290528154219
gradient-factor-week,2.232797749469388
uncertainty-year,1.2799739875684559
quadratic-coefficients-month,"[1.4754319849196587e-15, -4.6886589844975183e-06, 3724.9525428530351]"
total-rejected-all,555
quadratic-coefficients-all,"[1.216191835196351e-18, -3.8038520043719354e-09, 2.9975092884148604]"
days-profit-month,52
value-week,0.036940946624784352
value-timestamp,1591622803
id,Horizon_Case
uncertainty-all,147.04135412193995
days-break-even-month,10
total-month,721
days-profit-week,15
days-profit-year,10000
quadratic-coefficients-year,"[1.4505391640322483e-18, -4.5431942935003742e-09, 3.5806303936267589]"
uncertainty,1.6243023089696063
investment-potential,0.0
gradient-week,2.0114764657544718e-08
gradient-factor-year,0.0033431942450597939
gradient-factor-month,0.64500061436905765
total-year,1285
gradient-month,5.8996172371367719e-09
days-profit-all,10000
investment-potential-week,0.0
total-week,169
total-accepted-week,89
days-break-even-week,3
value-date,08/06/2020
value-month,0.035734038166880117
total-accepted-month,361
y-intercept-month,-9.3553459841806124
total-accepted-all,1040
total-rejected-week,80
days-break-even-all,2751
total-rejected-month,360
days-break-even,6
quadratic-coefficients-week,"[-7.8619360484498481e-15, 2.5041600852300951e-05, -19940.393004786361]"
value-all,0.029111862322071663
gradient-all,2.1692993319725383e-11
gradient-factor-all,0.002543646181190426
name,Horizon Case
investment-potential-all,0.0
y-intercept-week,-31.9774549221125
gradient-factor,1.4388991819192229
url,https://steamcommunity.com/market/listings/730/Horizon%20Case/
investment-potential-year,0.0
gradient-year,2.851178397409237e-11
total-rejected-year,319
value,0.036337492395832234
days-break-even-year,2093
uncertainty-month,1.8638085952185521
days-profit,33
uncertainty-week,1.3847960227206604
y-intercept-all,-0.010689355636576888
value-year,0.029155848484386002
