total-accepted-year,1104
investment-potential-month,12.0
total-all,3149
y-intercept-year,1.4771784958863752
gradient-factor-week,0.3210275568647587
uncertainty-year,0.64872767435287271
quadratic-coefficients-month,"[1.8952304664112113e-14, -6.0203056411500599e-05, 47811.129580186927]"
total-rejected-all,1570
quadratic-coefficients-all,"[-7.9626841513633285e-17, 2.6043018019323455e-07, -211.24472759384241]"
days-profit-month,190
value-week,1.7663621826866418
value-timestamp,1591623178
id,Huntsman_Weapon_Case
uncertainty-all,360.600531822336
days-break-even-month,39
total-month,721
days-profit-week,105
days-profit-year,10000
quadratic-coefficients-year,"[2.6038895727790229e-16, -8.2071550135240927e-07, 648.16082838443958]"
uncertainty,0.30717671514829975
investment-potential,17.0
gradient-week,1.4232393095360323e-07
gradient-factor-year,1.3550306235751669e-05
gradient-factor-month,0.17750734062081083
total-year,1285
gradient-month,7.6540278689336018e-08
days-profit-all,1051
investment-potential-week,22.0
total-week,169
total-accepted-week,169
days-break-even-week,21
value-date,08/06/2020
value-month,1.7315163557536795
total-accepted-month,721
y-intercept-month,-120.09840022093145
total-accepted-all,1579
total-rejected-week,0
days-break-even-all,217
total-rejected-month,0
days-break-even,30
quadratic-coefficients-week,"[8.9342670403427867e-13, -0.0028433016091978791, 2262180.5360552678]"
value-all,1.6527677964180421
gradient-all,1.3547738195521392e-08
gradient-factor-all,0.032177354388510659
name,Huntsman Weapon Case
investment-potential-all,0.0
y-intercept-week,-224.78009056980559
gradient-factor,0.24926744874278478
url,https://steamcommunity.com/market/listings/730/Huntsman%20Weapon%20Case/
investment-potential-year,0.0
gradient-year,5.7051303576608764e-12
total-rejected-year,181
value,1.7489392692201606
days-break-even-year,10000
uncertainty-month,0.30946819590273311
days-profit,147
uncertainty-week,0.30488523439386639
y-intercept-all,-19.954889286605493
value-year,1.5919326045157063
