total-accepted-year,854
investment-potential-month,8.0
total-all,3369
y-intercept-year,-211.7297225897579
gradient-factor-week,0.25598396341764307
uncertainty-year,0.63551727110166312
quadratic-coefficients-month,"[8.8673930400434683e-14, -0.00028138781844391466, 223250.60731352438]"
total-rejected-all,1680
quadratic-coefficients-all,"[1.1364525491811587e-15, -3.3876067347716119e-06, 2532.2669051933326]"
days-profit-month,281
value-week,21.624197620994384
value-timestamp,1591623053
id,Operation_Bravo_Case
uncertainty-all,708.02834388977033
days-break-even-month,58
total-month,718
days-profit-week,132
days-profit-year,1241
quadratic-coefficients-year,"[3.9118620263723025e-15, -1.2183711269400333e-05, 9501.3111428043339]"
uncertainty,0.28945599474567663
investment-potential,13.0
gradient-week,1.3507856958781427e-06
gradient-factor-year,0.027261074207507924
gradient-factor-month,0.12028199025480898
total-year,1282
gradient-month,6.4691562730616847e-07
days-profit-all,1829
investment-potential-week,18.0
total-week,167
total-accepted-week,167
days-break-even-week,27
value-date,08/06/2020
value-month,21.656771353157755
total-accepted-month,715
y-intercept-month,-1008.0141615633651
total-accepted-all,1689
total-rejected-week,0
days-break-even-all,378
total-rejected-month,3
days-break-even,42
quadratic-coefficients-week,"[2.4047271451995413e-12, -0.0076519392205964803, 6087216.4507212872]"
value-all,19.212741084768126
gradient-all,9.817862770031156e-08
gradient-factor-all,0.018498184006360913
name,Operation Bravo Case
investment-potential-all,0.0
y-intercept-week,-2127.9620996593276
gradient-factor,0.18813297683622604
url,https://steamcommunity.com/market/listings/730/Operation%20Bravo%20Case/
investment-potential-year,0.0
gradient-year,1.4468743820523911e-07
total-rejected-year,428
value,21.640484487076069
days-break-even-year,256
uncertainty-month,0.3154177424667482
days-profit,206
uncertainty-week,0.26349424702460505
y-intercept-all,-139.23708414479893
value-year,19.978542539642419
