total-accepted-year,645
investment-potential-month,8.0
total-all,3088
y-intercept-year,-20.188523889014814
gradient-factor-week,0.16999272811678842
uncertainty-year,1.7660300186013134
quadratic-coefficients-month,"[-2.7974359642315061e-14, 8.8995313680650096e-05, -70780.009189574441]"
total-rejected-all,1540
quadratic-coefficients-all,"[1.5929425291709834e-16, -4.8856157097269643e-07, 374.59989919809595]"
days-profit-month,228
value-week,0.57809074144574835
value-timestamp,1591623995
id,Operation_Breakout_Weapon_Case
uncertainty-all,158.63594969335222
days-break-even-month,47
total-month,721
days-profit-week,199
days-profit-year,370
quadratic-coefficients-year,"[1.4650962913963414e-16, -4.4947197259722347e-07, 344.73386070106528]"
uncertainty,0.27130120227775367
investment-potential,11.0
gradient-week,2.4346399368863959e-08
gradient-factor-year,0.09133385426490534
gradient-factor-month,0.14781380580201928
total-year,1285
gradient-month,2.1038330168300059e-08
days-profit-all,551
investment-potential-week,14.0
total-week,169
total-accepted-week,169
days-break-even-week,41
value-date,08/06/2020
value-month,0.57781250481791613
total-accepted-month,717
y-intercept-month,-32.903225880485245
total-accepted-all,1548
total-rejected-week,0
days-break-even-all,114
total-rejected-month,4
days-break-even,44
quadratic-coefficients-week,"[-8.3564269172872677e-14, 0.00026597683885166902, -211643.94533567806]"
value-all,0.50207809700633166
gradient-all,8.7207157249603714e-09
gradient-factor-all,0.061343959594974476
name,Operation Breakout Weapon Case
investment-potential-all,0.0
y-intercept-week,-38.171440258080629
gradient-factor,0.15890326695940385
url,https://steamcommunity.com/market/listings/730/Operation%20Breakout%20Weapon%20Case/
investment-potential-year,0.0
gradient-year,1.2984107716034207e-08
total-rejected-year,640
value,0.57795162313183224
days-break-even-year,76
uncertainty-month,0.41185552128057085
days-profit,213
uncertainty-week,0.13074688327493655
y-intercept-all,-13.449081398833286
value-year,0.52520171626164802
