total-accepted-year,1086
investment-potential-month,0.0
total-all,3219
y-intercept-year,-13.563991323925082
gradient-factor-week,-0.5490011287243628
uncertainty-year,1.1540259613038004
quadratic-coefficients-month,"[-1.4072301127427868e-14, 4.4747260553678768e-05, -35571.568957870426]"
total-rejected-all,1600
quadratic-coefficients-all,"[7.3005002822215342e-17, -2.2210884212565303e-07, 168.9529055187059]"
days-profit-month,10000
value-week,0.35296532741568604
value-timestamp,1591624120
id,Operation_Phoenix_Weapon_Case
uncertainty-all,180.7475801105135
days-break-even-month,10000
total-month,721
days-profit-week,10000
days-profit-year,351
quadratic-coefficients-year,"[2.6431895671622884e-17, -7.4591900201158511e-08, 52.148868807441175]"
uncertainty,0.23878103511771909
investment-potential,0.0
gradient-week,-4.8025777033650383e-08
gradient-factor-year,0.09618438360525608
gradient-factor-month,-0.11846722795001784
total-year,1285
gradient-month,-1.0512105975434963e-08
days-profit-all,600
investment-potential-week,0.0
total-week,169
total-accepted-week,169
days-break-even-week,10000
value-date,08/06/2020
value-month,0.36228733915798456
total-accepted-month,721
y-intercept-month,17.09805088367132
total-accepted-all,1619
total-rejected-week,0
days-break-even-all,124
total-rejected-month,0
days-break-even,10000
quadratic-coefficients-week,"[-6.2305737788345803e-14, 0.00019824753025169376, -157698.11147985049]"
value-all,0.34541431996271033
gradient-all,5.1369414811935445e-09
gradient-factor-all,0.056388599342917123
name,Operation Phoenix Weapon Case
investment-potential-all,0.0
y-intercept-week,76.791889456970537
gradient-factor,-0.33373417833719032
url,https://steamcommunity.com/market/listings/730/Operation%20Phoenix%20Weapon%20Case/
investment-potential-year,0.0
gradient-year,8.7622951401954695e-09
total-rejected-year,199
value,0.3576263332868353
days-break-even-year,72
uncertainty-month,0.29033478713822425
days-profit,10000
uncertainty-week,0.18722728309721393
y-intercept-all,-7.8525287472790239
value-year,0.37477137658561233
