total-accepted-year,1051
investment-potential-month,2.0
total-all,2955
y-intercept-year,-12.02912554213172
gradient-factor-week,-0.79514758137523667
uncertainty-year,1.3809738611405413
quadratic-coefficients-month,"[-1.1817439715635069e-14, 3.7590272602043251e-05, -29892.502278160486]"
total-rejected-all,1470
quadratic-coefficients-all,"[8.0112484350741103e-17, -2.4605186721616472e-07, 189.02242565215519]"
days-profit-month,748
value-week,0.33810786583798369
value-timestamp,1591623932
id,Operation_Vanguard_Weapon_Case
uncertainty-all,90.837944278081437
days-break-even-month,154
total-month,721
days-profit-week,10000
days-profit-year,384
quadratic-coefficients-year,"[6.0454926733161122e-17, -1.830045778047589e-07, 138.48112250636203]"
uncertainty,0.29515931200344842
investment-potential,1.0
gradient-week,-6.6904811770043349e-08
gradient-factor-year,0.088083971137527653
gradient-factor-month,0.045220053431062585
total-year,1285
gradient-month,3.8638462646348381e-09
days-profit-all,648
investment-potential-week,0.0
total-week,169
total-accepted-week,169
days-break-even-week,10000
value-date,08/06/2020
value-month,0.35338648371017933
total-accepted-month,721
y-intercept-month,-5.7875086672798028
total-accepted-all,1485
total-rejected-week,0
days-break-even-all,134
total-rejected-month,0
days-break-even,5077
quadratic-coefficients-week,"[8.0086882673599649e-15, -2.5555479739856546e-05, 20386.906625421838]"
value-all,0.33233067676774686
gradient-all,4.608961281931569e-09
gradient-factor-all,0.052203074042136782
name,Operation Vanguard Weapon Case
investment-potential-all,0.0
y-intercept-week,106.8238336407712
gradient-factor,-0.37496376397208703
url,https://steamcommunity.com/market/listings/730/Operation%20Vanguard%20Weapon%20Case/
investment-potential-year,0.0
gradient-year,7.7768526084105939e-09
total-rejected-year,234
value,0.34574717477408151
days-break-even-year,79
uncertainty-month,0.3545976162974796
days-profit,5374
uncertainty-week,0.23572100770941726
y-intercept-all,-7.0270241034636607
value-year,0.35231575248939861
