total-accepted-year,928
investment-potential-month,3.0
total-all,1373
y-intercept-year,1.1664962168540927
gradient-factor-week,0.36106235674151244
uncertainty-year,34.276570332168774
quadratic-coefficients-month,"[4.1455830597284588e-16, -1.3181214159848774e-06, 1047.7914315557525]"
total-rejected-all,471
quadratic-coefficients-all,"[1.7230977501482883e-16, -5.4756356315389712e-07, 435.03288273456724]"
days-profit-month,477
value-week,0.025121427231179751
value-timestamp,1591622865
id,Prisma_Case
uncertainty-all,101.71454640952615
days-break-even-month,98
total-month,721
days-profit-week,93
days-profit-year,10000
quadratic-coefficients-year,"[1.3754825661919773e-16, -4.3707126648184747e-07, 347.23075737708768]"
uncertainty,0.52141060571707265
investment-potential,9.5
gradient-week,2.2660012402286583e-09
gradient-factor-year,-0.1186780726776784
gradient-factor-month,0.070895228807900473
total-year,1285
gradient-month,4.3646097325588829e-10
days-profit-all,10000
investment-potential-week,16.0
total-week,169
total-accepted-week,165
days-break-even-week,19
value-date,08/06/2020
value-month,0.024477084264122713
total-accepted-month,692
y-intercept-month,-0.67054749325441665
total-accepted-all,902
total-rejected-week,4
days-break-even-all,10000
total-rejected-month,29
days-break-even,58
quadratic-coefficients-week,"[3.5879715973804078e-15, -1.1416916833314591e-05, 9082.17411742677]"
value-all,0.023025730112237779
gradient-all,-6.7601820622323549e-10
gradient-factor-all,-0.11150453747554936
name,Prisma Case
investment-potential-all,0.0
y-intercept-week,-3.5816691415282205
gradient-factor,0.21597879277470644
url,https://steamcommunity.com/market/listings/730/Prisma%20Case/
investment-potential-year,0.0
gradient-year,-7.1950917537492476e-10
total-rejected-year,357
value,0.024799255747651232
days-break-even-year,10000
uncertainty-month,0.51313070037922137
days-profit,285
uncertainty-week,0.52969051105492393
y-intercept-all,1.0975691415389666
value-year,0.022878771798357993
