total-accepted-year,1044
investment-potential-month,0.0
total-all,2563
y-intercept-year,-0.0090632325674331014
gradient-factor-week,0.43932730928708563
uncertainty-year,1.5107884391173905
quadratic-coefficients-month,"[-4.5622567340177501e-16, 1.4521680659552841e-06, -1155.5373944550865]"
total-rejected-all,493
quadratic-coefficients-all,"[1.3729486653210488e-19, -4.1420866215147753e-10, 0.33558356700302139]"
days-profit-month,237
value-week,0.029616180192336784
value-timestamp,1591622990
id,Revolver_Case
uncertainty-all,175.47650044994887
days-break-even-month,49
total-month,721
days-profit-week,77
days-profit-year,10000
quadratic-coefficients-year,"[3.0769263035038604e-18, -9.6830274015453887e-09, 7.6415836016410807]"
uncertainty,1.7791115346979458
investment-potential,0.0
gradient-week,3.4510079512325113e-09
gradient-factor-year,0.0029181361835153167
gradient-factor-month,0.1422530009076669
total-year,1285
gradient-month,1.0957302846776211e-09
days-profit-all,10000
investment-potential-week,0.0
total-week,169
total-accepted-week,130
days-break-even-week,15
value-date,08/06/2020
value-month,0.029160985498782491
total-accepted-month,565
y-intercept-month,-1.7167188673415517
total-accepted-all,2070
total-rejected-week,39
days-break-even-all,8049
total-rejected-month,156
days-break-even,32
quadratic-coefficients-week,"[7.069910933400988e-15, -2.2497372053098248e-05, 17897.413579618515]"
value-all,0.026348391380625506
gradient-all,6.2198427631942047e-12
gradient-factor-all,0.00086959122367731914
name,Revolver Case
investment-potential-all,0.0
y-intercept-week,-5.4651248363021603
gradient-factor,0.29079015509737627
url,https://steamcommunity.com/market/listings/730/Revolver%20Case/
investment-potential-year,0.0
gradient-year,2.0872276224567768e-11
total-rejected-year,241
value,0.02938858284555964
days-break-even-year,2398
uncertainty-month,1.6440911215463059
days-profit,157
uncertainty-week,1.9141319478495855
y-intercept-all,0.013957867129418711
value-year,0.02649837702217514
