total-accepted-year,1075
investment-potential-month,15.0
total-all,3075
y-intercept-year,-32.294011061529318
gradient-factor-week,0.74216256405680736
uncertainty-year,1.0572721953134054
quadratic-coefficients-month,"[3.0271095043825942e-14, -9.6209794775975054e-05, 76446.382842852981]"
total-rejected-all,1530
quadratic-coefficients-all,"[6.4643138921440321e-17, -1.8283453139770066e-07, 128.39247268580786]"
days-profit-month,160
value-week,1.3572174145429701
value-timestamp,1591624182
id,eSports_2013_Winter_Case
uncertainty-all,56.891989225555292
days-break-even-month,33
total-month,721
days-profit-week,45
days-profit-year,516
quadratic-coefficients-year,"[2.3381908084467009e-16, -7.1589907869043322e-07, 548.27252013252212]"
uncertainty,0.26007091458089898
investment-potential,35.5
gradient-week,2.4878749885504373e-07
gradient-factor-year,0.065489956386364373
gradient-factor-month,0.21134923564856412
total-year,1285
gradient-month,7.1118288249712699e-08
days-profit-all,635
investment-potential-week,56.0
total-week,169
total-accepted-week,168
days-break-even-week,9
value-date,08/06/2020
value-month,1.3259191077872501
total-accepted-month,719
y-intercept-month,-111.89803512667898
total-accepted-all,1545
total-rejected-week,1
days-break-even-all,131
total-rejected-month,2
days-break-even,21
quadratic-coefficients-week,"[6.3443543580466502e-13, -0.002018914048927923, 1606159.1372763184]"
value-all,1.1813477477339562
gradient-all,1.7059217399642993e-08
gradient-factor-all,0.053214272898942504
name,eSports 2013 Winter Case
investment-potential-all,0.0
y-intercept-week,-394.61173276716403
gradient-factor,0.47675589985268574
url,https://steamcommunity.com/market/listings/730/eSports%202013%20Winter%20Case/
investment-potential-year,0.0
gradient-year,2.0994506598065898e-08
total-rejected-year,210
value,1.3415682611651101
days-break-even-year,106
uncertainty-month,0.27897070744036895
days-profit,102
uncertainty-week,0.24117112172142899
y-intercept-all,-26.08161748980174
value-year,1.2068887365200629
